offense,defense,hfa,sepa
Georgia Southern,Buffalo,0,1.3109810968481623
Georgia Southern,Buffalo,0,-0.6421505306649413
Buffalo,Georgia Southern,0,0.41473984985504797
Buffalo,Georgia Southern,0,0.19382246750726784
Buffalo,Georgia Southern,0,-0.039312966247488146
Buffalo,Georgia Southern,0,0.7081435324307089
Buffalo,Georgia Southern,0,-0.33982237745395216
Buffalo,Georgia Southern,0,-0.8646705500480634
Buffalo,Georgia Southern,0,2.2393428584756143
Buffalo,Georgia Southern,0,-0.6421505306649411
Georgia Southern,Buffalo,0,-0.8646705500480635
Georgia Southern,Buffalo,0,2.329329315257941
Georgia Southern,Buffalo,0,1.5816740422266937
Georgia Southern,Buffalo,0,1.6079692874296319
Georgia Southern,Buffalo,0,-0.3401711621701633
Georgia Southern,Buffalo,0,-0.41208769123384226
Buffalo,Georgia Southern,0,-0.1895676718507201
Buffalo,Georgia Southern,0,-0.5641611388415994
Buffalo,Georgia Southern,0,1.3608211707663203
Buffalo,Georgia Southern,0,0.6703005234715356
Buffalo,Georgia Southern,0,-0.6421505306649415
Buffalo,Georgia Southern,0,-0.8646705500480634
Buffalo,Georgia Southern,0,2.4799328055773837
Buffalo,Georgia Southern,0,-0.7938751935564881
Buffalo,Georgia Southern,0,-0.8646705500480638
Buffalo,Georgia Southern,0,2.3876445586086783
Buffalo,Georgia Southern,0,-0.1895676718507202
Buffalo,Georgia Southern,0,-0.2603630283422955
Buffalo,Georgia Southern,0,2.1436316487484257
Buffalo,Georgia Southern,0,-1.2464580523707083
Buffalo,Georgia Southern,0,-0.8646705500480643
Georgia Southern,Buffalo,0,-0.6421505306649415
Georgia Southern,Buffalo,0,-0.2603630283422951
Georgia Southern,Buffalo,0,2.606194056164057
Georgia Southern,Buffalo,0,0.4132698925667331
Georgia Southern,Buffalo,0,-0.5626911815532847
Georgia Southern,Buffalo,0,-0.6421505306649413
Georgia Southern,Buffalo,0,-0.8646705500480634
Buffalo,Georgia Southern,0,-0.562691181553285
Buffalo,Georgia Southern,0,1.7833370369029102
Buffalo,Georgia Southern,0,-0.1880977145624052
Buffalo,Georgia Southern,0,1.120231223664551
Florida,Oregon State,0,-0.4915470403454989
Florida,Oregon State,0,-0.8646705500480634
Memphis,Utah State,0,0.7290988150041264
Memphis,Utah State,0,-0.9426599418714051
Memphis,Utah State,0,2.828615142779257
Memphis,Utah State,0,-0.6421505306649413
Memphis,Utah State,0,-1.0149252556512955
Utah State,Memphis,0,-0.18956767185072
Utah State,Memphis,0,-0.5626911815532849
Boise State,North Texas,0,-1.2461092676544987
Boise State,North Texas,0,0.040146382864168384
North Texas,Boise State,0,1.8532016277284997
North Texas,Boise State,0,0.41473984985504764
North Texas,Boise State,0,-0.5626911815532845
North Texas,Boise State,0,0.8167818978814578
North Texas,Boise State,0,-0.037843008959173474
North Texas,Boise State,0,-0.8646705500480636
North Texas,Boise State,0,1.5728140824787726
North Texas,Boise State,0,-0.6421505306649413
North Texas,Boise State,0,-0.8646705500480636
North Texas,Boise State,0,3.2236163332742933
North Texas,Boise State,0,0.5649945554582798
North Texas,Boise State,0,-0.7129458871565166
North Texas,Boise State,0,1.6273575783548164
North Texas,Boise State,0,-0.6421505306649413
Boise State,North Texas,0,1.0951181797945044
Boise State,North Texas,0,1.9462234497287572
Boise State,North Texas,0,-0.33982237745395194
